nombre,poblacion,superficie,continente
Arabia Saudita,37200000,2149690.0,Asia
Armenia,2790000,29743.0,Asia
Azerbaiyán,10400000,86600.0,Asia
Bangladés,172000000,147570.0,Asia
Baréin,1570000,778.0,Asia
Birmania (Myanmar),55700000,676578.0,Asia
Brunéi,460000,5765.0,Asia
Bután,787000,38394.0,Asia
Camboya,16500000,181035.0,Asia
Catar,2880000,11586.0,Asia
China,1412000000,9596961.0,Asia
Corea del Norte,26000000,120540.0,Asia
Corea del Sur,52000000,100210.0,Asia
Emiratos Árabes Unidos,9850000,83600.0,Asia
Filipinas,114000000,300000.0,Asia
Georgia,3710000,69700.0,Asia
India,1430000000,3287263.0,Asia
Indonesia,282000000,1904569.0,Asia
Irak,46300000,438317.0,Asia
Irán,89100000,1648195.0,Asia
Israel,9800000,22145.0,Asia
Japón,124000000,377975.0,Asia
Jordania,11300000,89342.0,Asia
Kazajistán,20000000,2724900.0,Asia
Kirguistán,6900000,199951.0,Asia
Kuwait,4430000,17818.0,Asia
Laos,7600000,236800.0,Asia
Líbano,5500000,10452.0,Asia
Malasia,34600000,330803.0,Asia
Maldivas,530000,298.0,Asia
Mongolia,3400000,1564116.0,Asia
Nepal,30800000,147516.0,Asia
Omán,4600000,309500.0,Asia
Pakistán,247000000,881913.0,Asia
Palestina,5250000,6020.0,Asia
Singapur,5900000,734.0,Asia
Siria,23500000,185180.0,Asia
Sri Lanka,22000000,65610.0,Asia
Tailandia,71600000,513120.0,Asia
Tayikistán,10300000,143100.0,Asia
Timor Oriental,1410000,14874.0,Asia
Turkmenistán,6700000,488100.0,Asia
Uzbekistán,35700000,447400.0,Asia
Vietnam,100000000,331212.0,Asia
Yemen,34600000,527968.0,Asia
Angola,36900000,1246700.0,África
Argelia,45600000,2381741.0,África
Benín,13800000,112622.0,África
Botsuana,2700000,581730.0,África
Burkina Faso,23700000,272967.0,África
Burundi,13800000,27834.0,África
Cabo Verde,590000,4033.0,África
Camerún,28400000,475442.0,África
Chad,18800000,1284000.0,África
Comoras,870000,2235.0,África
Congo,6200000,342000.0,África
Costa de Marfil,29000000,322463.0,África
Egipto,111000000,1002450.0,África
Eritrea,3700000,117600.0,África
Esuatini,1200000,17364.0,África
Etiopía,128000000,1104300.0,África
Gabón,2400000,267667.0,África
Gambia,2800000,11295.0,África
Ghana,34800000,238533.0,África
Guinea,14300000,245857.0,África
Guinea-Bisáu,2300000,36125.0,África
Guinea Ecuatorial,1800000,28051.0,África
Kenia,56100000,580367.0,África
Lesoto,2300000,30355.0,África
Liberia,5400000,111369.0,África
Libia,7000000,1759540.0,África
Madagascar,31300000,587041.0,África
Malaui,21700000,118484.0,África
Malí,23200000,1240192.0,África
Marruecos,38000000,446550.0,África
Mauricio,1300000,2040.0,África
Mauritania,4900000,1030700.0,África
Mozambique,35000000,801590.0,África
Namibia,2600000,825615.0,África
Níger,28000000,1267000.0,África
Nigeria,229000000,923768.0,África
República Centroafricana,5900000,622984.0,África
República Democrática del Congo,103000000,2344858.0,África
Ruanda,14000000,26338.0,África
Santo Tomé y Príncipe,240000,964.0,África
Senegal,18500000,196722.0,África
Seychelles,107000,455.0,África
Sierra Leona,9000000,71740.0,África
Somalia,18900000,637657.0,África
Sudáfrica,61000000,1219090.0,África
Sudán,48100000,1861484.0,África
Sudán del Sur,12000000,619745.0,África
Tanzania,67700000,945087.0,África
Togo,9100000,56785.0,África
Túnez,12400000,163610.0,África
Uganda,49700000,241038.0,África
Yibuti,1200000,23200.0,África
Zambia,20500000,752618.0,África
Zimbabue,16500000,390757.0,África
Australia,26800000,7692024.0,Oceanía
Fiyi,940000,18274.0,Oceanía
Islas Marshall,42000,181.0,Oceanía
Islas Salomón,760000,28896.0,Oceanía
Kiribati,132000,811.0,Oceanía
Micronesia,520000,702.0,Oceanía
Nauru,13000,21.0,Oceanía
Nueva Zelanda,5200000,268838.0,Oceanía
Palaos,18000,459.0,Oceanía
Papúa Nueva Guinea,10000000,462840.0,Oceanía
Samoa,225000,2842.0,Oceanía
Tonga,107000,747.0,Oceanía
Tuvalu,11300,26.0,Oceanía
Vanuatu,330000,12189.0,Oceanía
godoy cruz,123456,1234.6,oceania
